MIDA_PER_ID|CASE_OUTCOME|STATUS|CASE_APPLIC_DTE
3003477|GRANT I.L.R. (KOL TEST)||04/01/2010 00:00
3024217|GRANT I.L.R. (KOL TEST)||07/04/2015 00:00
3039660|GRANT I.L.R. (KOL TEST)||23/03/2012 00:00
3042075|GRANT I.L.R. (KOL TEST)||23/03/2012 00:00
3069908|GRANT I.L.R. (KOL TEST)||22/03/2012 00:00
3071715|GRANT I.L.R. (KOL TEST)||11/04/2015 00:00
3092418|GRANT I.L.R. (KOL TEST)||04/01/2010 00:00
3092454|GRANT I.L.R. (KOL TEST)||21/06/2014 00:00
3109599|GRANT I.L.R. (KOL TEST)||22/03/2012 00:00
3121352|GRANT I.L.R. (KOL TEST)||23/03/2012 00:00
3121382|GRANT I.L.R. (KOL TEST)||05/01/2010 00:00
3121491|GRANT I.L.R. (KOL TEST)||23/03/2012 00:00
3121503|GRANT I.L.R. (KOL TEST)||23/03/2012 00:00
3121674|GRANT I.L.R. (KOL TEST)||24/03/2012 00:00
3137542|GRANT I.L.R. (KOL TEST)||19/06/2014 00:00
3140079|GRANT I.L.R. (KOL TEST)||18/06/2014 00:00
3146315|GRANT I.L.R. (KOL TEST)||23/03/2012 00:00
3150796|GRANT I.L.R. (KOL TEST)||20/06/2014 00:00
3154408|GRANT I.L.R. (KOL TEST)||04/01/2010 00:00
3165225|GRANT I.L.R. (KOL TEST)||04/01/2010 00:00
3165226|GRANT I.L.R. (KOL TEST)||04/01/2010 00:00
3181265|GRANT I.L.R. (KOL TEST)||21/03/2012 00:00
3199979|GRANT I.L.R. (KOL TEST)||04/01/2010 00:00
3216309|GRANT I.L.R. (KOL TEST)||02/01/2010 00:00
3224327|GRANT I.L.R. (KOL TEST)||04/01/2010 00:00
3235514|GRANT I.L.R. (KOL TEST)||22/03/2012 00:00
3270640|GRANT I.L.R. (KOL TEST)||24/03/2012 00:00
3281861|GRANT I.L.R. (KOL TEST)||21/03/2012 00:00
3285319|GRANT I.L.R. (KOL TEST)||03/01/2010 00:00
3301165|GRANT I.L.R. (KOL TEST)||23/03/2012 00:00
3310901|GRANT I.L.R. (KOL TEST)||21/03/2012 00:00
3334192|GRANT I.L.R. (KOL TEST)||05/01/2010 00:00
3354418|GRANT I.L.R. (KOL TEST)||21/03/2012 00:00
3374261|GRANT I.L.R. (KOL TEST)||05/01/2010 00:00
3374411|GRANT I.L.R. (KOL TEST)||20/06/2014 00:00
3383203|GRANT I.L.R. (KOL TEST)||09/04/2015 00:00
3393443|GRANT I.L.R. (KOL TEST)||04/01/2010 00:00
3402741|GRANT I.L.R. (KOL TEST)||20/06/2014 00:00
3428662|GRANT I.L.R. (KOL TEST)||04/01/2010 00:00
3428663|GRANT I.L.R. (KOL TEST)||22/03/2012 00:00
3435086|GRANT I.L.R. (KOL TEST)||21/03/2012 00:00
3438020|GRANT I.L.R. (KOL TEST)||05/01/2010 00:00
3446521|GRANT I.L.R. (KOL TEST)||23/03/2012 00:00
3446524|GRANT I.L.R. (KOL TEST)||23/03/2012 00:00
3446603|GRANT I.L.R. (KOL TEST)||04/01/2010 00:00
3457988|GRANT I.L.R. (KOL TEST)||02/01/2010 00:00
3470658|GRANT I.L.R. (KOL TEST)||04/01/2010 00:00
3474778|GRANT I.L.R. (KOL TEST)||04/01/2010 00:00
3475689|GRANT I.L.R. (KOL TEST)||19/06/2014 00:00
3477846|GRANT I.L.R. (KOL TEST)||20/06/2014 00:00
3482642|GRANT I.L.R. (KOL TEST)||21/03/2012 00:00
3483656|GRANT I.L.R. (KOL TEST)||04/01/2010 00:00
3491799|GRANT I.L.R. (KOL TEST)||17/06/2014 00:00
3498907|GRANT I.L.R. (KOL TEST)||05/01/2010 00:00
3509099|GRANT I.L.R. (KOL TEST)||05/01/2010 00:00
3519300|GRANT I.L.R. (KOL TEST)||08/04/2015 00:00
3530872|GRANT I.L.R. (KOL TEST)||23/03/2012 00:00
3536917|GRANT I.L.R. (KOL TEST)||22/03/2012 00:00
3538369|GRANT I.L.R. (KOL TEST)||23/03/2012 00:00
3538948|GRANT I.L.R. (KOL TEST)||04/01/2010 00:00
3541056|GRANT I.L.R. (KOL TEST)||22/03/2012 00:00
3541224|GRANT I.L.R. (KOL TEST)||04/01/2010 00:00
3554717|GRANT I.L.R. (KOL TEST)||18/06/2014 00:00
3557921|GRANT I.L.R. (KOL TEST)||04/01/2010 00:00
3561718|GRANT I.L.R. (KOL TEST)||23/03/2012 00:00
3573666|GRANT I.L.R. (KOL TEST)||22/03/2012 00:00
3574184|GRANT I.L.R. (KOL TEST)||23/03/2012 00:00
3579398|GRANT I.L.R. (KOL TEST)||19/06/2014 00:00
3584105|GRANT I.L.R. (KOL TEST)||05/01/2010 00:00
3586150|GRANT I.L.R. (KOL TEST)||04/01/2010 00:00
3593858|GRANT I.L.R. (KOL TEST)||05/01/2010 00:00
3599398|GRANT I.L.R. (KOL TEST)||18/06/2014 00:00
3605734|GRANT I.L.R. (KOL TEST)||05/01/2010 00:00
3606211|GRANT I.L.R. (KOL TEST)||07/04/2015 00:00
3608244|GRANT I.L.R. (KOL TEST)||22/03/2012 00:00
3609081|GRANT I.L.R. (KOL TEST)||23/03/2012 00:00
3609791|GRANT I.L.R. (KOL TEST)||23/03/2012 00:00
3614952|GRANT I.L.R. (KOL TEST)||05/01/2010 00:00
3617344|GRANT I.L.R. (KOL TEST)||04/01/2010 00:00
3630530|GRANT I.L.R. (KOL TEST)||24/03/2012 00:00
3631623|GRANT I.L.R. (KOL TEST)||20/06/2014 00:00
3633005|GRANT I.L.R. (KOL TEST)||21/03/2012 00:00
3635107|GRANT I.L.R. (KOL TEST)||23/03/2012 00:00
3636427|GRANT I.L.R. (KOL TEST)||23/03/2012 00:00
3637859|GRANT I.L.R. (KOL TEST)||20/06/2014 00:00
3643365|GRANT I.L.R. (KOL TEST)||21/06/2014 00:00
3645261|GRANT I.L.R. (KOL TEST)||21/03/2012 00:00
3658947|GRANT I.L.R. (KOL TEST)||05/01/2010 00:00
3660133|GRANT I.L.R. (KOL TEST)||18/06/2014 00:00
3664001|GRANT I.L.R. (KOL TEST)||19/06/2014 00:00
3667186|GRANT I.L.R. (KOL TEST)||24/03/2012 00:00
3684435|GRANT I.L.R. (KOL TEST)||23/03/2012 00:00
3693897|GRANT I.L.R. (KOL TEST)||18/06/2014 00:00
3702702|GRANT I.L.R. (KOL TEST)||08/04/2015 00:00
3704181|GRANT I.L.R. (KOL TEST)||04/01/2010 00:00
3705685|GRANT I.L.R. (KOL TEST)||05/01/2010 00:00
3719450|GRANT I.L.R. (KOL TEST)||22/03/2012 00:00
3726636|GRANT I.L.R. (KOL TEST)||22/03/2012 00:00
3740029|GRANT I.L.R. (KOL TEST)||24/03/2012 00:00
3753697|GRANT I.L.R. (KOL TEST)||04/01/2010 00:00
3759339|GRANT I.L.R. (KOL TEST)||17/06/2014 00:00
3763535|GRANT I.L.R. (KOL TEST)||04/01/2010 00:00
3768586|GRANT I.L.R. (KOL TEST)||04/01/2010 00:00
3773118|GRANT I.L.R. (KOL TEST)||21/03/2012 00:00
3779600|GRANT I.L.R. (KOL TEST)||05/01/2010 00:00
3786708|GRANT I.L.R. (KOL TEST)||23/03/2012 00:00
3796989|GRANT I.L.R. (KOL TEST)||23/03/2012 00:00
3807177|GRANT I.L.R. (KOL TEST)||20/06/2014 00:00
3808220|GRANT I.L.R. (KOL TEST)||22/03/2012 00:00
3808571|GRANT I.L.R. (KOL TEST)||05/01/2010 00:00
3813886|GRANT I.L.R. (KOL TEST)||17/06/2014 00:00
3822512|GRANT I.L.R. (KOL TEST)||23/03/2012 00:00
3824139|GRANT I.L.R. (KOL TEST)||22/03/2012 00:00
3835243|GRANT I.L.R. (KOL TEST)||05/01/2010 00:00
3843050|GRANT I.L.R. (KOL TEST)||23/03/2012 00:00
3846412|GRANT I.L.R. (KOL TEST)||23/03/2012 00:00
3851575|GRANT I.L.R. (KOL TEST)||09/04/2015 00:00
3854907|GRANT I.L.R. (KOL TEST)||22/03/2012 00:00
3855652|GRANT I.L.R. (KOL TEST)||04/01/2010 00:00
3861941|GRANT I.L.R. (KOL TEST)||21/03/2012 00:00
3868842|GRANT I.L.R. (KOL TEST)||21/06/2014 00:00
3869067|GRANT I.L.R. (KOL TEST)||05/01/2010 00:00
3874489|GRANT I.L.R. (KOL TEST)||22/03/2012 00:00
3882603|GRANT I.L.R. (KOL TEST)||02/01/2010 00:00
3883903|GRANT I.L.R. (KOL TEST)||04/01/2010 00:00
3894929|GRANT I.L.R. (KOL TEST)||05/01/2010 00:00
3899145|GRANT I.L.R. (KOL TEST)||05/01/2010 00:00
3906066|GRANT I.L.R. (KOL TEST)||23/03/2012 00:00
3913193|GRANT I.L.R. (KOL TEST)||05/01/2010 00:00
3913831|GRANT I.L.R. (KOL TEST)||21/03/2012 00:00
3914485|GRANT I.L.R. (KOL TEST)||07/04/2015 00:00
3927372|GRANT I.L.R. (KOL TEST)||21/03/2012 00:00
3941322|GRANT I.L.R. (KOL TEST)||05/01/2010 00:00
3949672|GRANT I.L.R. (KOL TEST)||18/06/2014 00:00
3952533|GRANT I.L.R. (KOL TEST)||22/03/2012 00:00
3954448|GRANT I.L.R. (KOL TEST)||17/06/2014 00:00
3969690|GRANT I.L.R. (KOL TEST)||17/06/2014 00:00
3989682|GRANT I.L.R. (KOL TEST)||24/03/2012 00:00
3996094|GRANT I.L.R. (KOL TEST)||04/01/2010 00:00
4016765|GRANT I.L.R. (KOL TEST)||22/03/2012 00:00
4019151|GRANT I.L.R. (KOL TEST)||05/01/2010 00:00
4032288|GRANT I.L.R. (KOL TEST)||19/06/2014 00:00
4032817|GRANT I.L.R. (KOL TEST)||22/03/2012 00:00
4035290|GRANT I.L.R. (KOL TEST)||21/03/2012 00:00
4043346|GRANT I.L.R. (KOL TEST)||05/01/2010 00:00
4078359|GRANT I.L.R. (KOL TEST)||05/01/2010 00:00
4094105|GRANT I.L.R. (KOL TEST)||04/01/2010 00:00
4100710|GRANT I.L.R. (KOL TEST)||19/06/2014 00:00
4126017|GRANT I.L.R. (KOL TEST)||22/03/2012 00:00
4141041|GRANT I.L.R. (KOL TEST)||04/01/2010 00:00
4178476|GRANT I.L.R. (KOL TEST)||22/03/2012 00:00
4203068|GRANT I.L.R. (KOL TEST)||24/03/2012 00:00
4231080|GRANT I.L.R. (KOL TEST)||05/01/2010 00:00
4231556|GRANT I.L.R. (KOL TEST)||04/01/2010 00:00
4233526|GRANT I.L.R. (KOL TEST)||08/04/2015 00:00
4237220|GRANT I.L.R. (KOL TEST)||10/04/2015 00:00
4243130|GRANT I.L.R. (KOL TEST)||19/06/2014 00:00
4251389|GRANT I.L.R. (KOL TEST)||22/03/2012 00:00
4262310|GRANT I.L.R. (KOL TEST)||23/03/2012 00:00
4267809|GRANT I.L.R. (KOL TEST)||17/06/2014 00:00
4268335|GRANT I.L.R. (KOL TEST)||23/03/2012 00:00
4283085|GRANT I.L.R. (KOL TEST)||22/03/2012 00:00
4289326|GRANT I.L.R. (KOL TEST)||02/01/2010 00:00
4296590|GRANT I.L.R. (KOL TEST)||04/01/2010 00:00
4304140|GRANT I.L.R. (KOL TEST)||04/01/2010 00:00
4312079|GRANT I.L.R. (KOL TEST)||23/03/2012 00:00
4325191|GRANT I.L.R. (KOL TEST)||04/01/2010 00:00
4327422|GRANT I.L.R. (KOL TEST)||17/06/2014 00:00
4341502|GRANT I.L.R. (KOL TEST)||05/01/2010 00:00
4354099|GRANT I.L.R. (KOL TEST)||05/01/2010 00:00
4354924|GRANT I.L.R. (KOL TEST)||05/01/2010 00:00
4361782|GRANT I.L.R. (KOL TEST)||21/03/2012 00:00
4362203|GRANT I.L.R. (KOL TEST)||18/06/2014 00:00
4364447|GRANT I.L.R. (KOL TEST)||04/01/2010 00:00
4365599|GRANT I.L.R. (KOL TEST)||21/03/2012 00:00
4368463|GRANT I.L.R. (KOL TEST)||19/06/2014 00:00
4380376|GRANT I.L.R. (KOL TEST)||05/01/2010 00:00
4383572|GRANT I.L.R. (KOL TEST)||21/06/2014 00:00
4385152|GRANT I.L.R. (KOL TEST)||21/03/2012 00:00
